acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,id
0.298,0.857,203429,0.526,0.0,4,0.063,-6.385,0,0.0639,104.977,4,0.872,1IHssc4q6krq9xR8FrmFE1
7.48e-05,0.447,294080,0.97,0.00466,2,0.0413,-4.955,0,0.102,140.113,4,0.191,0f0gtgYtsT1W16DvfZpD2H
0.0785,0.578,206000,0.603,0.00363,6,0.59,-8.609,1,0.0549,120.09,4,0.238,17oFKix3j86fdjzxlEUuc4
0.0408,0.766,249600,0.858,0.000139,7,0.128,-5.526,0,0.176,99.96,4,0.634,4Q7fxPGvjdIgOY3F4uDnc8
0.588,0.614,295743,0.683,0.818,7,0.0794,-11.152,1,0.0579,120.007,4,0.23,2R2eA50BQmmQQK1NbOecLY
0.883,0.686,269091,0.398,0.916,9,0.082,-13.112,0,0.0323,132.029,4,0.0673,6gmWWq8EQ5358r2Jqrk2aP
0.133,0.699,222027,0.594,1.91e-05,3,0.109,-6.629,1,0.0316,119.996,4,0.714,77ASthOBal4HnsBbSrfFFy
0.902,0.518,205000,0.233,1.88e-05,11,0.102,-8.364,1,0.0402,156.851,4,0.396,7dnuKx4hIXIKTWsCmHXzEZ
0.0905,0.747,188690,0.525,0.0,11,0.105,-7.212,1,0.274,149.993,4,0.257,46r4RpmKB9Vbx0F9bNxW4g
0.00426,0.625,205920,0.7,0.0949,9,0.0737,-6.809,1,0.0402,121.081,3,0.859,6PfYP3QOCKjG7K9y1nVcHI
